 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           AE Indices                                   |
 IAGA CODE              AE                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               AE,AU,AL,AO                                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2016-06-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     AE        AU        AL        AO     |
2009-07-24 00:00:00.000 205        70.00     39.00    -31.00      4.00
2009-07-24 01:00:00.000 205       164.00     76.00    -88.00     -6.00
2009-07-24 02:00:00.000 205        97.00     44.00    -53.00     -5.00
2009-07-24 03:00:00.000 205        38.00     26.00    -11.00      8.00
2009-07-24 04:00:00.000 205        20.00     14.00     -6.00      4.00
2009-07-24 05:00:00.000 205        86.00     64.00    -22.00     21.00
2009-07-24 06:00:00.000 205        47.00     34.00    -13.00     11.00
2009-07-24 07:00:00.000 205       165.00     50.00   -116.00    -33.00
2009-07-24 08:00:00.000 205       149.00     20.00   -129.00    -55.00
2009-07-24 09:00:00.000 205       214.00     24.00   -191.00    -84.00
2009-07-24 10:00:00.000 205       142.00     27.00   -115.00    -44.00
2009-07-24 11:00:00.000 205       105.00     26.00    -79.00    -27.00
2009-07-24 12:00:00.000 205        94.00     26.00    -68.00    -22.00
2009-07-24 13:00:00.000 205        66.00     25.00    -41.00     -9.00
2009-07-24 14:00:00.000 205       161.00     51.00   -110.00    -30.00
2009-07-24 15:00:00.000 205       308.00     69.00   -239.00    -85.00
2009-07-24 16:00:00.000 205       296.00     58.00   -238.00    -90.00
2009-07-24 17:00:00.000 205       193.00     43.00   -150.00    -54.00
2009-07-24 18:00:00.000 205        48.00     39.00     -9.00     15.00
2009-07-24 19:00:00.000 205        40.00     18.00    -23.00     -2.00
2009-07-24 20:00:00.000 205        53.00     14.00    -39.00    -13.00
