#Spidr data output file in ASCII format created at 2014-09-12 19:28
#GMT time is used
#
#
#--------------------------------------------------
#>
#Element: dstql
#Description: DST Quick Look (QL) Index
#Measure units: nT
#Origin: 
#
#
#Sampling: 1 hour
#Missing value: 1.0E33
#>
#yyyy-MM-dd HH:mm value qualifier description
2009-07-22 06:00 5.0   ""   ""
2009-07-22 09:00 4.3   ""   ""
2009-07-22 12:00 1.7   ""   ""
2009-07-22 15:00 1.7   ""   ""
2009-07-22 18:00 2.3   ""   ""
2009-07-22 21:00 1.3000001   ""   ""
2009-07-23 00:00 1.3000001   ""   ""
2009-07-23 03:00 1.3000001   ""   ""
2009-07-23 06:00 2.0   ""   ""
2009-07-23 09:00 1.7   ""   ""
2009-07-23 12:00 1.7   ""   ""
2009-07-23 15:00 2.3   ""   ""
2009-07-23 18:00 2.3   ""   ""
2009-07-23 21:00 2.0   ""   ""
2009-07-24 00:00 2.0   ""   ""
2009-07-24 03:00 1.0   ""   ""
2009-07-24 06:00 2.0   ""   ""
2009-07-24 09:00 1.3000001   ""   ""
2009-07-24 12:00 1.3000001   ""   ""
2009-07-24 15:00 2.0   ""   ""
2009-07-24 18:00 0.7   ""   ""
2009-07-24 21:00 1.0   ""   ""
2009-07-25 00:00 2.0   ""   ""
2009-07-25 03:00 2.0   ""   ""
2009-07-25 06:00 0.3   ""   ""
2009-07-25 09:00 1.0   ""   ""
2009-07-25 12:00 1.0   ""   ""
2009-07-25 15:00 0.3   ""   ""
2009-07-25 18:00 0.7   ""   ""
2009-07-25 21:00 1.3000001   ""   ""
